facebookId,pre_processed_message,message_min_processed,label
890711084350263,americanas amer declara dividas r bilhoes justica deve pedir recuperacao judicial diz globo juiz deu prazo dias americanas peca recuperacao judicial avaliar caso infomoney america mericana urgente americanas declara r bi dividas vai pedir recuperaca judicial,americanas ( amer3 ) declara dividas de r $ 40 bilhoes a justica e deve pedir recuperacao judicial diz o globo juiz deu um prazo de 30 dias para que a americanas peca recuperacao judicial se avaliar que e o caso . infomoney america mericana urgente americanas declara r $ 40 bi em dividas e vai pedir recuperaca judicial,1
890711084350263,presa solta brasil queremos brasil quer,presa solta esse e brasil que queremos ? esse e o brasil que voce quer ?,1
890711084350263,explicando dificil entender entao desenhando possa ser facil apresentovos salvador lula entendeu agora,se explicando esta dificil entender entao desenhando possa ser mais facil . apresento-vos o nosso salvador o lula e entendeu agora ?,1
409388089120866,mfei esthetic m,mfei esthetic m,1
409388089120866,amorrrrrrrr siga obrasilbr insta boulos ameaca tarcisio sair porrada deputada pcdob promete pegar armas min direitos humanos cala idosos criancas presos manifestacao pobre descobre q vai pagar imposto renda salario minimo congelado aumento p stf sancionado oamorvenceu,e o amorrrrrrrr ! siga @ obrasilbr no insta boulos ameaca tarcisio de sair na porrada deputada do pcdob promete pegar em armas min dos direitos humanos se cala sobre idosos e criancas presos por manifestacao pobre descobre q vai pagar imposto de renda salario minimo congelado e aumento p o stf sancionado # oamorvenceu,1
890711084350263,lula deveria voltar cadeia sim n responda,lula deveria voltar para cadeia ? sim n ao ? responda :,1
890711084350263,lula deveria voltar cadeia sim n responda,lula deveria voltar para cadeia ? sim n ao ? responda :,1
409388089120866,conta basica segundo pt governo bolsonaro tudo x caro governo pt gasto lula dobro corporativo tudo baratinho logo lula gastou x bolsonaro entao cala boca animal cerebro,conta basica : segundo pt no governo bolsonaro tudo era 4x mais caro que no governo pt . o gasto de lula foi o dobro no corporativo quando tudo era baratinho . logo lula gastou 8x mais que bolsonaro entao cala boca animal sem cerebro .,1
409388089120866,ainda liga tv nisso one or more people and people dancing como rede globo classifica pessoas vitimas sociedade rjan menores suspeitos terroristas perigosos,voce ainda liga sua tv nisso ? one or more people and people dancing 'como a rede globo classifica as pessoas vitimas da sociedade 56 6a 10rj/an menores suspeitos terroristas perigosos ',1
409388089120866,sigam obrasilbr insta lula diz vai tolerar corrupcao governo m m podton pr republy ministros enfrentaram serias investigacoes justica,sigam @ obrasilbr no insta lula diz que nao vai tolerar corrupcao no governo m m e podton pr republy dos 37 ministros 19 deles enfrentaram serias investigacoes na justica !,1
409388089120866,sigam obrasilbr insta gilberto silva g politica faz lula sanciona aumento salario ministros supremo folha spauo governo lula inflacao salario minimo governo lula pretende manter salario minimo r desistir aumento adicional faz w,sigam @ obrasilbr no insta gilberto silva g1 politica faz ' lula sanciona aumento de salario de ministros do supremo folha de spauo governo lula inflacao salario minimo governo lula pretende manter salario minimo em r $ 1.302 e desistir de aumento adicional faz w,1
409388089120866,salario minimo reajuste recebe partir salario meio comecara pagar imposto renda aumento ministros stf passarao ganhar r mil mes acho acho pouco fazol,em 2023 : salario minimo nao tera reajuste . quem recebe a a partir de 1 salario e meio comecara a pagar imposto de renda com aumento ministros do stf passarao a ganhar r $ 46 3 mil por mes . o que eu acho ? eu acho e pouco ! fazol ...,1
409388089120866,podia parar cara fugiu dinheiro supremo oo fazol faz,podia parar o cara ele fugiu com meu dinheiro supremo oo fazol faz,1
409388089120866,sigam obrasilbr amigos instagram recei im oroem ordem broores brasil facebook obrasilbr nft ganha salario minimo meio passara pagar imposto renda faz faz fazo faz faz faz faz l,sigam @ obrasilbr amigos no instagram meu recei im oroem ordem broores o brasil facebook @ obrasilbr nft quem ganha um salario minimo e meio passara a pagar imposto de renda em 2023 faz .. faz .. fazo faz .. faz faz faz l,1
890711084350263,correcao falso governo luiz inacio lula silva pt modificado faixa isencao imposto renda ir sugerem postagens redes sociais publicacoes atribuem presidente fato trabalhadores recebem menos salario minimo meio passarao pagar tributo ano mudanca ocorreu porque aumento piso nacional remuneracoes seguido revisao tabela ir segundo agencia reuters noticias trabalhadores recebem menos salario minimo meio passarao pagar tributo ano salario passou ser reais janeiro tabela ir revisada mantendo isencao faixa reais segue correcao abaixo gilbertosilva bolsonaro promete zero imposto ganha salarios isencao contemplaria recebe hoje r atualmente isento ganha r leia versao final plano governo ganha salario minimo meio passara pagar imposto renda,correcao : e falso que o governo de luiz inacio lula da silva ( pt ) tenha modificado a faixa de isencao do imposto de renda ( ir ) como sugerem postagens nas redes sociais . publicacoes atribuem ao presidente o fato de que trabalhadores que recebem menos de um salario minimo e meio passarao a pagar o tributo este ano . a mudanca ocorreu porque o aumento no piso nacional das remuneracoes nao foi seguido de revisao na tabela do ir . segundo a agencia reuters de noticias os trabalhadores que recebem menos de um salario minimo e meio passarao a pagar o tributo este ano ja que o salario passou a ser de 1.302 reais em janeiro e a tabela do ir nao foi revisada mantendo a isencao na faixa de 1.903 38 reais segue link correcao abaixo https : //www.reuters.com/article/fact-check-imposto-de-renda-lula/fact-check-ir-sobre-um-salrio-mnimo-e-meio-no-medida-de-lula-mas-resultado-de-tabela-defasada-idusl6n33y0bt ? : = : https : //www.reuters.com/article/fact-check-imposto-de-renda-lula-idusl6n33y0bt gilbertosilva bolsonaro promete zero imposto para quem ganha ate 5 salarios isencao contemplaria quem recebe hoje r $ 6.060 ( atualmente esta isento quem ganha ate r $ 1.903 98 ) . leia a versao final do plano de governo quem ganha um salario minimo e meio passara a pagar imposto de renda em 2023,1
100068234133822,imagina seguinte h michele bolsonaro sigilo anos vamos derrubar todos jornalistas extase h michele bolsonaro recebeu visitas professora libras cabelereira pastor todos jornalistas desapontados toma cambada vagabundos caiu kkkkkkkkk,imagina o seguinte : 21h59 . michele bolsonaro tem sigilo de 100 anos vamos derrubar ! ! ! ! todos os jornalistas em extase .... 00h00 . michele bolsonaro recebeu visitas de professora de libras cabelereira e seu pastor ... todos os jornalistas desapontados ... toma cambada de vagabundos ! https : //www.facebook.com/movimentomaricamelhor1.0/videos/481266900870219 caiu kkkkkkkkk,1
100068234133822,agro fascista ne,o agro e fascista ne,1
890711084350263,ex atreta acha evolui filha ana moser nova ministra esporte foto dutramds janeiro escrito roque ministra esporte diz esportes eletronicos esportes ana moser afirmou esports entretenimento ministerio pretende investir area,a ex `` atreta '' acha que estamos em 1950 evolui minha filha . ana moser nova ministra do esporte ( foto : dutra/mds ) 10 de janeiro de 2023 as 12:29 escrito por roque ministra do esporte diz que esportes eletronicos nao sao esportes ana moser afirmou que esports sao entretenimento e que ministerio nao pretende investir na area,1
890711084350263,boulos contra invasoes esquerda contra direitos humanos ladrao preocupado patrimonio publico comunista preocupado democracia devo estar ficando louco show hipocrisia vai devagar ainda dia saude mental vai aguentar tanto absurdo,2023 boulos contra invasoes esquerda contra direitos humanos ladrao preocupado com patrimonio publico comunista preocupado com democracia eu devo estar ficando louco ou e um show de hipocrisia ? ? 2023 vai devagar que ainda e dia 10 e nossa saude mental nao vai aguentar tanto absurdo !,1
100068234133822, , ,1
890711084350263,contra lula pt juntese instagram clique abaixo participe,se voce e contra lula e o pt junte-se a nos no instagram . clique abaixo participe https : //www.instagram.com/p/cnlh-g_daqw/ ? igshid=ymmymta2m2y= : = : https : //www.instagram.com/p/cnlh-g_daqw/,1
890711084350263,sergio moro chama atencao detalhe discurso lula causa revolta esquerda algum momento ouviram lula falar combater corrupcao exministro justica seguranca publica governo bolsonaro sergio moro atualmente ocupando cargo senador republica estado parana,sergio moro chama a atencao para detalhe em discurso de lula e causa revolta na esquerda : em algum momento voces ouviram lula falar em combater a corrupcao https : //imprensabrasil.com.br/sergio-moro-chama-a-atencao-para-detalhe-em-discurso-de-lula-e-causa-revolta-na-esquerda-em-algum-momento-voces-ouviram-lula-falar-em-combater-a-corrupcao/ o ex-ministro da justica e seguranca publica do governo bolsonaro sergio moro atualmente ocupando o cargo de senador da republica pelo estado do parana,1
890711084350263,contra lula pt juntese instagram clique abaixo participe,se voce e contra lula e o pt junte-se a nos no instagram . clique abaixo participe https : //www.instagram.com/p/cnlh-g_daqw/ ? igshid=ymmymta2m2y= : = : https : //www.instagram.com/p/cnlh-g_daqw/,1
